"","name","value","name","value"
"1","04 Fishing, Hunting and Trapping",7.65320735410363,"42 Other Store-Based Retailing",0.0177336068539186
"2","56 Broadcasting (except Internet)",4.27118763517926,"72 Administrative Services",0.013394185003683
"3","60 Library and Other Information Services",3.87372210168418,"25Furniture and Other Manufacturing",0.0114144678426209
"4","13Textile, Leather, Clothing and Footwear Manufacturing",3.53763202391837,"39Motor Vehicle and Motor Vehicle Parts Retailing",0.00966317675190517
"5","05 Agriculture, Forestry and Fishing Support Services",3.40246046049913,"56 Broadcasting (except Internet)",0.00736334391112535
"6","25Furniture and Other Manufacturing",3.29886583515155,"18 Basic Chemical and Chemical Product Manufacturing",0.00674882700729585
"7","92 Gambling Activities",3.04853476653685,"
33 Basic Material Wholesaling",0.00646864544103442
"8","18 Basic Chemical and Chemical Product Manufacturing",2.70531006875719,"13Textile, Leather, Clothing and Footwear Manufacturing",0.00619222600474676
"9","50 Other Transport",2.58970932962431,"52 Transport Support Services",0.00617277209209608
"10","27Gas Supply",2.42456061095122,"94 Repair and Maintenance",0.00583088589742694
"11","29Waste Collection, Treatment and Disposal Services",2.31835491787514,"22Fabricated Metal Product Manufacturing",0.00521153733727881
"12","38 Commission-Based Wholesaling",2.14566446261148,"92 Gambling Activities",0.00498688673260561
"13","39Motor Vehicle and Motor Vehicle Parts Retailing",2.14411791869946,"05 Agriculture, Forestry and Fishing Support Services",0.00484203390500964
"14","22Fabricated Metal Product Manufacturing",1.9672415367872,"29Waste Collection, Treatment and Disposal Services",0.00447427108087949
"15","
33 Basic Material Wholesaling",1.92690231530025,"60 Library and Other Information Services",0.00325652148689208
"16","52 Transport Support Services",1.91356850598105,"45 Food and Beverage Services",0.00319652213922147
"17","90 Creative and Performing Arts Activities",1.80872881165595,"04 Fishing, Hunting and Trapping",0.00306972901034706
"18","89 Heritage Activities",1.7539992040236,"90 Creative and Performing Arts Activities",0.00291486410468295
"19","72 Administrative Services",1.74805115231512,"31 Heavy and Civil Engineering Construction",0.00271217959125201
"20","54 Publishing and Broadcasting",1.50893340587895,"91 Sports and Recreation Activities",0.00247584929794424
"21","42 Other Store-Based Retailing",1.32970785746107,"89 Heritage Activities",0.00227073557724401
"22","94 Repair and Maintenance",1.32812526496266,"27Gas Supply",0.00133105920223859
"23","31 Heavy and Civil Engineering Construction",1.32581315308185,"49 Air and Space Transport",0.0012362390388149
"24","49 Air and Space Transport",1.29442325786992,"54 Publishing and Broadcasting",0.00101295628265923
"25","19Polymer Product and Rubber Product Manufacturing",1.27153096797989,"41 Food Retailing",0.000991019844895687
"26","91 Sports and Recreation Activities",1.24093320692952,"50 Other Transport",0.000988199599109321
"27","66 Rental and Hiring Services (except Real Estate)",1.17298563332428,"38 Commission-Based Wholesaling",0.000840450456067218
"28","26Electricity Supply",1.12243021520162,"19Polymer Product and Rubber Product Manufacturing",0.000768465574370838
"29","35 Motor Vehicle and Motor Vehicle Parts Wholesaling",1.09997642956533,"30 Building Construction",0.000669872102590757
"30","20Non-Metallic Mineral Product Manufacturing",1.09652730346008,"26Electricity Supply",0.000614752132223038
"31","23Transport Equipment Manufacturing",1.08381384979294,"66 Rental and Hiring Services (except Real Estate)",0.000496583268989341
"32","15Pulp, Paper and Converted Paper Product Manufacturing",1.07933417756779,"23Transport Equipment Manufacturing",0.000431367094430623
"33","06 Coal Mining",1.06399293088269,"20Non-Metallic Mineral Product Manufacturing",0.000267593581780425
"34","45 Food and Beverage Services",1.05034954909672,"06 Coal Mining",0.000245471426902196
"35","41 Food Retailing",1.03259347864356,"35 Motor Vehicle and Motor Vehicle Parts Wholesaling",0.000208059457781629
"36","30 Building Construction",1.02831440875315,"15Pulp, Paper and Converted Paper Product Manufacturing",0.000106749089795059
"37","32 Construction Services",0.992189522927632,"14Wood Product Manufacturing",-0.000155808590234811
"38","73 Building Cleaning, Pest Control and Other Support Services",0.989271692396133,"73 Building Cleaning, Pest Control and Other Support Services",-0.000186337393531633
"39","69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",0.962533153938766,"12Beverage and Tobacco Product Manufacturing",-0.000294227540774457
"40","14Wood Product Manufacturing",0.955211601590987,"32 Construction Services",-0.000461874508794008
"41","77 Public Order, Safety and Regulatory Services",0.947672034321973,"28Water Supply, Sewerage and Drainage Services",-0.000485047448496053
"42","37 Other Goods Wholesaling",0.920906239663081,"37 Other Goods Wholesaling",-0.000568621104470638
"43","12Beverage and Tobacco Product Manufacturing",0.883656815348376,"09 Non-Metallic Mineral Mining and Quarrying",-0.000622276115198331
"44","87 Social Assistance Services",0.847837977923249,"16Printing (including the Reproduction of Recorded Media)",-0.00078745484232979
"45","44 Accommodation",0.842890323596311,"77 Public Order, Safety and Regulatory Services",-0.000796336196478927
"46","21Primary Metal and Metal Product Manufacturing",0.841287319320667,"21Primary Metal and Metal Product Manufacturing",-0.000932055804406051
"47","28Water Supply, Sewerage and Drainage Services",0.805681289038278,"48 Water Transport",-0.000960367541977462
"48","86 Residential Care Services",0.780591246061525,"02 Aquaculture",-0.000989260679367191
"49","64 Auxiliary Finance and Insurance Services",0.758646480412583,"44 Accommodation",-0.00118378426793024
"50","95 Personal and other services (include activities for own use)",0.751786659521256,"76 Defence",-0.00122185684736627
"51","62 Finance",0.750402743246962,"17Petroleum and Coal Product Manufacturing",-0.0012328783553129
"52","85 Medical and Other Health Care Services",0.726418275005163,"59 Internet Service Providers, Web Search Portals and Data Processing Services",-0.00134543239029489
"53","16Printing (including the Reproduction of Recorded Media)",0.699631207016209,"03 Forestry and Logging",-0.0023444120848657
"54","34 Machinery and Equipment Wholesaling",0.680444315844422,"53 Warehousing and Storage Services",-0.00239732348866635
"55","01 Agriculture",0.64832471351968,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",-0.00259707948215088
"56","70 Computer System Design and Related Services",0.636757634498573,"47 Rail Transport",-0.00268735507124658
"57","08 Metal Ore Mining",0.633282697759821,"34 Machinery and Equipment Wholesaling",-0.00275817803482167
"58","63 Insurance and Superannuation Funds",0.622543268465278,"64 Auxiliary Finance and Insurance Services",-0.00296846764818356
"59","24Machinery and Equipment Manufacturing",0.598617169796527,"43 Non-Store Retailing and Retail Commission Based Buying and/or Selling",-0.00299922035451965
"60","84 Hospitals",0.553437552435886,"63 Insurance and Superannuation Funds",-0.00303933410533867
"61","53 Warehousing and Storage Services",0.545124113624293,"08 Metal Ore Mining",-0.00307462609701775
"62","46 Road Transport",0.507604546386328,"55 Motion Picture and Sound Recording Activities",-0.00350258577007551
"63","11Food Product Manufacturing",0.501752464772176,"24Machinery and Equipment Manufacturing",-0.00350784474937427
"64","67 Property Operators and Real Estate Services",0.47427794535349,"62 Finance",-0.00367506168400986
"65","09 Non-Metallic Mineral Mining and Quarrying",0.43350016626253,"86 Residential Care Services",-0.00445171902627877
"66","76 Defence",0.400075236892055,"10 Exploration and Other Mining Support Services",-0.00489951173935186
"67","80 Preschool and School Education",0.349160981501985,"95 Personal and other services (include activities for own use)",-0.00527957502889928
"68","82 Adult, Community and Other Education",0.303213476028504,"87 Social Assistance Services",-0.00560033697148694
"69","47 Rail Transport",0.295878988593497,"40 Fuel Retailing",-0.00562380673193131
"70","75 Public Administration",0.232335921702576,"36 Grocery, Liquor and Tobacco Product Wholesaling",-0.00574270315157554
"71","51 Postal and Courier Pick-up and Delivery Services",0.186328110118066,"51 Postal and Courier Pick-up and Delivery Services",-0.00616538288256655
"72","81 Tertiary Education",-0.108710889290006,"07 Oil and Gas Extraction",-0.00627571749645372
"73","36 Grocery, Liquor and Tobacco Product Wholesaling",-0.167470364918751,"67 Property Operators and Real Estate Services",-0.00713988763383365
"74","55 Motion Picture and Sound Recording Activities",-0.190509138000881,"70 Computer System Design and Related Services",-0.00722839677989477
"75","58 Telecommunications Services",-0.19931365621724,"01 Agriculture",-0.00765743863639028
"76","48 Water Transport",-0.429509845910297,"11Food Product Manufacturing",-0.00821629085368133
"77","43 Non-Store Retailing and Retail Commission Based Buying and/or Selling",-0.508342858660993,"58 Telecommunications Services",-0.00849013835422196
"78","10 Exploration and Other Mining Support Services",-0.637382052562917,"46 Road Transport",-0.0108954586578737
"79","17Petroleum and Coal Product Manufacturing",-0.845750737496315,"82 Adult, Community and Other Education",-0.0109158948994664
"80","59 Internet Service Providers, Web Search Portals and Data Processing Services",-0.888706321789606,"85 Medical and Other Health Care Services",-0.0112633496729528
"81","40 Fuel Retailing",-0.92922269094946,"84 Hospitals",-0.0164840483473393
"82","02 Aquaculture",-0.970907856352022,"81 Tertiary Education",-0.0215685351349624
"83","07 Oil and Gas Extraction",-1.69777210576393,"80 Preschool and School Education",-0.0320645633525728
"84","03 Forestry and Logging",-3.36835653074946,"75 Public Administration",-0.0356327234195109
